Sample,X(ms) [08.05.2023 12:46:06 896 UTC],"LSim_PT2aper_DB.input","LSim_PT2aper_DB.output"
19879,1683549966908.771562,1,0.359395831823349
19880,1683549966909.024021,1,0.359395831823349
19881,1683549966909.276168,1,0.39048159122467
19882,1683549966909.524308,1,0.39048159122467
19883,1683549966909.774025,1,0.39048159122467
19884,1683549966910.021446,1,0.39048159122467
19885,1683549966910.289075,1,0.39048159122467
19886,1683549966910.524405,1,0.420112907886505
19887,1683549966910.773999,1,0.420112907886505
19888,1683549966911.021556,1,0.420112907886505
19889,1683549966911.276499,1,0.448336482048035
19890,1683549966911.524158,1,0.448336482048035
19891,1683549966911.773934,1,0.448336482048035
19892,1683549966912.021501,1,0.448336482048035
19893,1683549966912.316329,1,0.448336482048035
19894,1683549966912.524396,1,0.475206196308136
19895,1683549966912.773998,1,0.475206196308136
19896,1683549966913.023631,1,0.475206196308136
19897,1683549966913.323572,1,0.475206196308136
19898,1683549966913.524248,1,0.500779211521149
19899,1683549966913.774006,1,0.500779211521149
19900,1683549966914.024013,1,0.500779211521149
19901,1683549966914.343312,1,0.500779211521149
19902,1683549966914.525461,1,0.525113344192505
19903,1683549966914.774042,1,0.525113344192505
19904,1683549966915.051885,1,0.525113344192505
19905,1683549966915.291870,1,0.525113344192505
19906,1683549966915.524626,1,0.548265695571899
19907,1683549966915.774133,1,0.548265695571899
19908,1683549966916.021849,1,0.548265695571899
19909,1683549966916.294811,1,0.548265695571899
19910,1683549966916.524893,1,0.570291996002197
19911,1683549966916.774015,1,0.570291996002197
19912,1683549966917.021228,1,0.570291996002197
19913,1683549966917.303033,1,0.570291996002197
19914,1683549966917.525673,1,0.591245949268341
19915,1683549966917.774043,1,0.591245949268341
19916,1683549966918.047058,1,0.591245949268341
19917,1683549966918.318136,1,0.591245949268341
19918,1683549966918.525594,1,0.611179113388062
19919,1683549966918.773996,1,0.611179113388062
19920,1683549966919.056553,1,0.611179113388062
19921,1683549966919.324026,1,0.611179113388062
19922,1683549966919.525675,1,0.630140781402588
19923,1683549966919.774241,1,0.630140781402588
19924,1683549966920.021117,1,0.630140781402588
19925,1683549966920.274101,1,0.630140781402588
19926,1683549966920.524672,1,0.648178100585938
19927,1683549966920.774102,1,0.648178100585938
19928,1683549966921.034141,1,0.648178100585938
19929,1683549966921.272071,1,0.648178100585938
19930,1683549966921.525540,1,0.665336012840271
19931,1683549966921.774096,1,0.665336012840271
19932,1683549966922.037632,1,0.665336012840271
19933,1683549966922.272095,1,0.665336012840271
